断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况,数据时间
兰山嘴,2022/11/30 4:00,Ⅳ,12.3,8.35,10.1,441.3,119.8,6.89,0.025,0.084,1.24,0.022,22079010,正常,2022_11_30_06h06m
拖山,2022/11/30 4:00,Ⅴ,13.6,7.76,10.44,412.9,215.8,5.7,0.025,0.186,1.1,0.009,20882530,正常,2022_11_30_06h06m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_11_30_06h06m
汤溇,2022/11/30 0:00,Ⅳ,14.6,7.91,9.36,389,596.6,6.14,0.049,0.127,1.03,*,*,正常,2022_11_30_06h06m
小梅口,2022/11/30 4:00,Ⅲ,15,7.73,8.92,397.3,151.7,5.03,0.071,0.126,1.68,*,*,正常,2022_11_30_06h06m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_30_10h07m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_30_10h07m
锡东水厂,2022/11/30 8:00,Ⅳ,12.5,8.44,9.86,386.6,51,1.86,0.025,0.055,1.63,0.009,3530280,正常,2022_11_30_10h07m
兰山嘴,2022/11/30 8:00,Ⅴ,11.6,8.32,10.24,435.6,127.2,5.9,0.025,0.108,0.8,0.026,17747640,正常,2022_11_30_10h07m
拖山,2022/11/30 8:00,Ⅴ,12.7,7.72,10.66,413.6,169.8,4.81,0.025,0.149,1.21,0.008,18723900,正常,2022_11_30_10h07m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_30_10h07m
汤溇,2022/11/30 4:00,Ⅳ,13.5,7.92,9.62,388.3,673.6,6.7,0.049,0.126,1.16,*,*,正常,2022_11_30_10h07m
小梅口,2022/11/30 8:00,Ⅲ,13.3,7.68,9,393.6,161.1,5.38,0.086,0.14,1.68,*,*,正常,2022_11_30_10h07m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_30_14h07m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_30_14h07m
锡东水厂,2022/11/30 12:00,Ⅲ,12,8.51,10.26,385.4,43.3,2.05,0.025,0.046,1.55,0.011,4013250,正常,2022_11_30_14h07m
兰山嘴,2022/11/30 12:00,Ⅳ,10.9,8.33,10.47,435.2,140.5,5.9,0.025,0.083,1.22,0.02,23397520,正常,2022_11_30_14h07m
拖山,2022/11/30 12:00,Ⅴ,12.6,7.73,10.84,432.2,126.8,3.98,0.025,0.137,1.1,0.007,16476250,正常,2022_11_30_14h07m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_30_14h07m
汤溇,2022/11/30 8:00,Ⅲ,13.1,7.93,9.72,385.1,512.3,5.64,0.049,0.112,1.02,*,*,正常,2022_11_30_14h07m
小梅口,2022/11/30 12:00,Ⅲ,12.9,7.66,8.92,395.1,144.9,4.83,0.077,0.125,1.64,*,*,正常,2022_11_30_14h07m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_30_18h08m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_30_18h08m
锡东水厂,2022/11/30 16:00,Ⅲ,11.7,8.52,10.44,385.1,40,2.18,0.025,0.046,1.46,0.014,4297920,正常,2022_11_30_18h08m
兰山嘴,2022/11/30 16:00,Ⅳ,10.2,8.34,10.5,419.6,96.2,6.19,0.037,0.066,0.9,0.017,24639270,正常,2022_11_30_18h08m
拖山,2022/11/30 16:00,Ⅴ,12.3,7.74,10.94,438.1,100.1,3.76,0.025,0.118,1.04,0.006,15461530,正常,2022_11_30_18h08m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_30_18h08m
汤溇,2022/11/30 12:00,Ⅲ,12.5,7.96,9.91,384.3,491.6,5.58,0.047,0.114,0.97,*,*,正常,2022_11_30_18h08m
小梅口,2022/11/30 16:00,Ⅲ,12.8,7.58,8.43,399.4,125.4,4.45,0.073,0.117,1.51,*,*,正常,2022_11_30_18h08m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_30_22h09m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_30_22h09m
锡东水厂,2022/11/30 20:00,Ⅲ,11.2,8.49,10.43,385.4,40.8,2,0.025,0.045,1.44,0.014,4368960,正常,2022_11_30_22h09m
兰山嘴,2022/11/30 20:00,Ⅳ,9.9,8.33,10.66,423.5,115.5,6.19,0.025,0.073,1,0.02,24624930,正常,2022_11_30_22h09m
拖山,2022/11/30 20:00,Ⅴ,11.9,7.71,10.99,441.6,122.1,3.86,0.025,0.117,1.09,0.006,15264190,正常,2022_11_30_22h09m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_30_22h09m
汤溇,2022/11/30 16:00,Ⅳ,11.3,7.98,10.17,388.8,553.3,6.62,0.04,0.108,1.16,*,*,正常,2022_11_30_22h09m
小梅口,2022/11/30 20:00,Ⅲ,12.6,7.3,6.5,369.1,97.2,4.28,0.09,0.095,1.34,*,*,正常,2022_11_30_22h09m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_12_01_02h09m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_12_01_02h09m
锡东水厂,2022/11/30 20:00,Ⅲ,11.2,8.49,10.43,385.4,40.8,2,0.025,0.045,1.44,0.014,4368960,正常,2022_12_01_02h09m
兰山嘴,2022/12/1 0:00,Ⅳ,9.4,8.31,10.7,418.1,121.1,6.33,0.025,0.069,0.92,0.016,21957280,正常,2022_12_01_02h09m
拖山,2022/12/1 0:00,Ⅴ,11.4,7.72,11.19,459,149,3.86,0.025,0.154,1.4,0.006,15046240,正常,2022_12_01_02h09m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_12_01_02h09m
汤溇,2022/11/30 20:00,Ⅲ,10.8,7.96,10.2,388.6,451.6,5.53,0.036,0.125,1.06,*,*,正常,2022_12_01_02h09m
小梅口,2022/12/1 0:00,Ⅱ,12.1,7.4,7.84,363.5,103.4,3.9,0.086,0.087,1.2,*,*,正常,2022_12_01_02h09m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_12_01_06h10m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_12_01_06h10m
锡东水厂,2022/12/1 4:00,Ⅲ,10.6,8.45,10.53,386.5,34.4,1.92,0.025,0.042,1.47,0.011,4031410,正常,2022_12_01_06h10m
兰山嘴,2022/12/1 4:00,Ⅳ,8.8,8.3,10.7,414.8,95.8,5.84,0.025,0.069,0.8,0.017,16347880,正常,2022_12_01_06h10m
拖山,2022/12/1 4:00,Ⅴ,11.1,7.69,11.18,447.2,108.9,3.37,0.025,0.114,1.14,0.005,14530070,正常,2022_12_01_06h10m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_12_01_06h10m
汤溇,2022/12/1 0:00,Ⅲ,10.1,8.01,10.66,391.4,502.6,5.75,0.041,0.133,1.06,*,*,正常,2022_12_01_06h10m
小梅口,2022/12/1 4:00,Ⅱ,12.1,7.4,7.84,363.5,103.4,3.9,0.086,0.087,1.2,*,*,正常,2022_12_01_06h10m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_01_14h11m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_01_14h11m
锡东水厂,2022/12/1 12:00,Ⅲ,9.6,8.49,10.91,386.8,34.5,1.87,0.025,0.045,1.49,0.01,3611970,正常,2022_12_01_14h11m
兰山嘴,2022/12/1 12:00,Ⅳ,8.3,8.29,11.19,428.8,100.2,7.24,0.025,0.072,1.17,0.02,30994060,正常,2022_12_01_14h11m
拖山,2022/12/1 12:00,Ⅴ,10.6,7.71,11.43,446.3,91.2,3.03,0.025,0.107,1.14,0.004,13742770,正常,2022_12_01_14h11m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_01_14h11m
汤溇,2022/12/1 8:00,Ⅲ,9,8,10.89,388.6,334.2,4.39,0.036,0.121,0.94,*,*,正常,2022_12_01_14h11m
小梅口,2022/12/1 12:00,Ⅱ,11,7.33,7.55,380.9,105.5,3.64,0.166,0.08,1.25,*,*,正常,2022_12_01_14h11m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_01_18h12m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_01_18h12m
锡东水厂,2022/12/1 16:00,Ⅲ,9.5,8.53,11.16,386.5,31.6,1.86,0.025,0.043,1.45,0.01,4717420,正常,2022_12_01_18h12m
兰山嘴,2022/12/1 16:00,Ⅳ,8.2,8.35,11.2,435.8,84,6.92,0.025,0.073,1.31,0.018,23365660,正常,2022_12_01_18h12m
拖山,2022/12/1 16:00,Ⅳ,10.5,7.7,11.48,445.7,72.8,2.8,0.025,0.085,1.27,0.004,13710000,正常,2022_12_01_18h12m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_01_18h12m
汤溇,2022/12/1 12:00,Ⅳ,8.9,8.02,11.06,390.9,584.2,7.92,0.028,0.132,1.56,*,*,正常,2022_12_01_18h12m
小梅口,2022/12/1 16:00,Ⅱ,11.4,7.39,7.75,409.5,114.8,3.36,0.142,0.091,1.52,*,*,正常,2022_12_01_18h12m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_12_02_02h13m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_12_02_02h13m
锡东水厂,2022/12/1 20:00,Ⅲ,9.1,8.51,11.22,386.8,--,1.86,0.025,0.039,1.4,0.014,5105120,维护,2022_12_02_02h13m
兰山嘴,2022/12/2 0:00,Ⅳ,7.7,8.15,11.16,439.2,81.2,6.3,0.025,0.069,1.14,0.027,30849990,正常,2022_12_02_02h13m
拖山,2022/12/2 0:00,Ⅳ,10,7.71,11.57,453.6,72.7,2.9,0.025,0.084,1.43,0.004,12414470,正常,2022_12_02_02h13m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_12_02_02h13m
汤溇,2022/12/1 20:00,Ⅳ,8.3,7.93,11.58,392.4,441,6.44,0.028,0.117,1.34,*,*,正常,2022_12_02_02h13m
小梅口,2022/12/2 0:00,Ⅲ,12,7.31,6.86,440.5,102.8,3.4,0.272,0.104,2.61,*,*,正常,2022_12_02_02h13m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_12_02_06h14m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_12_02_06h14m
锡东水厂,2022/12/2 4:00,Ⅲ,8.6,8.45,11.1,385.9,--,1.7,0.034,0.034,1.42,0.017,5922790,维护,2022_12_02_06h14m
兰山嘴,2022/12/2 4:00,Ⅳ,7.4,8.12,11.22,419,73.9,4.96,0.025,0.068,0.8,0.014,16245480,正常,2022_12_02_06h14m
拖山,2022/12/2 4:00,Ⅳ,9.7,7.7,11.7,451.8,75.8,2.63,0.025,0.095,1.2,0.003,12423560,正常,2022_12_02_06h14m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_12_02_06h14m
汤溇,2022/12/2 0:00,Ⅳ,7.9,8.02,11.65,392.6,464.7,6.42,0.028,0.115,1.3,*,*,正常,2022_12_02_06h14m
小梅口,2022/12/2 4:00,Ⅲ,12,7.31,6.86,440.5,102.8,3.4,0.272,0.104,2.61,*,*,正常,2022_12_02_06h14m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_02_10h14m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_02_10h14m
锡东水厂,2022/12/2 8:00,Ⅲ,8.5,8.44,11.1,386.6,--,1.58,0.031,0.036,1.41,0.009,4185510,维护,2022_12_02_10h14m
兰山嘴,2022/12/2 8:00,Ⅲ,7.3,7.94,11.04,418.8,69.8,5.4,0.026,0.046,0.7,0.014,14745610,正常,2022_12_02_10h14m
拖山,2022/12/2 8:00,Ⅳ,9.6,7.7,11.62,455.7,59.5,2.65,0.06,0.071,1.43,0.003,13768880,正常,2022_12_02_10h14m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_02_10h14m
汤溇,2022/12/2 4:00,Ⅲ,7.7,8,11.65,393.5,426.6,5.58,0.029,0.152,1.26,*,*,正常,2022_12_02_10h14m
小梅口,2022/12/2 8:00,Ⅱ,11.6,7.33,7.58,412.7,100.2,3.1,0.155,0.083,2.58,*,*,正常,2022_12_02_10h14m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_02_14h15m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_02_14h15m
锡东水厂,2022/12/2 12:00,Ⅲ,8.7,8.54,11.35,386.8,--,1.87,0.025,0.041,1.4,0.008,4341850,维护,2022_12_02_14h15m
兰山嘴,2022/12/2 12:00,Ⅲ,7.6,8.05,11.22,415.8,62.7,4.22,0.025,0.042,0.71,0.015,16265160,正常,2022_12_02_14h15m
拖山,2022/12/2 12:00,Ⅳ,10.5,7.72,11.7,454.4,48.2,2.59,0.037,0.068,1.5,0.003,13966200,正常,2022_12_02_14h15m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_02_14h15m
汤溇,2022/12/2 12:00,Ⅲ,8,7.99,11.52,392.8,294.6,4.14,0.03,0.109,0.85,*,*,正常,2022_12_02_14h15m
小梅口,2022/12/2 12:00,Ⅱ,11.7,7.32,7.46,427.2,98.8,3.47,0.157,0.077,2.76,*,*,正常,2022_12_02_14h15m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_02_18h16m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_02_18h16m
锡东水厂,2022/12/2 16:00,Ⅲ,9.4,8.57,11.17,386.6,36.7,2,0.025,0.037,1.35,0.011,4351650,正常,2022_12_02_18h16m
兰山嘴,2022/12/2 16:00,Ⅲ,7.7,8.35,10.94,418,50.8,3.97,0.025,0.03,0.69,0.015,9989512,正常,2022_12_02_18h16m
拖山,2022/12/2 16:00,Ⅳ,10.2,7.72,11.52,458.5,50.8,2.46,0.028,0.077,1.53,0.004,14446100,正常,2022_12_02_18h16m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_02_18h16m
汤溇,2022/12/2 12:00,Ⅲ,8,7.99,11.52,392.8,294.6,4.14,0.03,0.109,0.85,*,*,正常,2022_12_02_18h16m
小梅口,2022/12/2 16:00,Ⅱ,11.7,7.32,7.46,427.2,98.8,3.47,0.157,0.077,2.76,*,*,正常,2022_12_02_18h16m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_02_22h16m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_02_22h16m
锡东水厂,2022/12/2 20:00,Ⅲ,9.4,8.56,10.99,386.7,38.9,1.91,0.025,0.037,1.32,0.011,4528880,正常,2022_12_02_22h16m
兰山嘴,2022/12/2 20:00,劣Ⅴ,7.5,9.63,11.14,417.9,49.7,4,0.025,0.033,0.67,0.015,11162240,正常,2022_12_02_22h16m
拖山,2022/12/2 20:00,Ⅳ,9.8,7.7,11.4,459,46.3,2.32,0.032,0.066,1.34,0.004,14319590,正常,2022_12_02_22h16m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_02_22h16m
汤溇,2022/12/2 20:00,Ⅱ,8.3,7.94,11.26,393.9,218.7,3.38,0.03,0.077,0.71,*,*,正常,2022_12_02_22h16m
小梅口,2022/12/2 20:00,Ⅱ,11.8,7.24,7.1,433,73.6,3.41,0.179,0.078,2.88,*,*,正常,2022_12_02_22h16m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_12_03_02h17m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_12_03_02h17m
锡东水厂,2022/12/2 20:00,Ⅲ,9.4,8.56,10.99,386.7,38.9,1.91,0.025,0.037,1.32,0.011,4528880,正常,2022_12_03_02h17m
兰山嘴,2022/12/3 0:00,劣Ⅴ,7.4,10.52,11.28,421.9,50.8,4,0.025,0.039,0.93,0.017,18064990,正常,2022_12_03_02h17m
拖山,2022/12/3 0:00,Ⅳ,9.7,7.69,11.43,461,44.1,2.32,0.03,0.069,1.1,0.003,11359740,正常,2022_12_03_02h17m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_12_03_02h17m
汤溇,2022/12/2 20:00,Ⅱ,8.3,7.94,11.26,393.9,218.7,3.38,0.03,0.077,0.71,*,*,正常,2022_12_03_02h17m
小梅口,2022/12/3 0:00,Ⅱ,11.8,7.24,7.1,433,73.6,3.41,0.179,0.078,2.88,*,*,正常,2022_12_03_02h17m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_12_03_06h18m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_12_03_06h18m
锡东水厂,2022/12/3 4:00,Ⅲ,9.1,8.44,10.68,392.6,39.8,1.75,0.025,0.046,1.51,0.009,4186400,正常,2022_12_03_06h18m
兰山嘴,2022/12/3 4:00,,7.2,--,11.42,427.5,42.8,3.95,0.025,0.039,0.88,0.016,12842670,维护,2022_12_03_06h18m
拖山,2022/12/3 4:00,Ⅳ,9.6,7.72,11.59,456.2,40,2.38,0.028,0.066,1.04,0.003,11185890,正常,2022_12_03_06h18m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_12_03_06h18m
汤溇,2022/12/3 0:00,Ⅱ,8.4,7.82,10.98,398.1,195.4,3.36,0.044,0.089,0.8,*,*,正常,2022_12_03_06h18m
小梅口,2022/12/3 4:00,Ⅱ,11.8,7.24,7.1,433,73.6,3.41,0.179,0.078,2.88,*,*,正常,2022_12_03_06h18m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_03_10h18m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_03_10h18m
锡东水厂,2022/12/3 8:00,Ⅲ,9.2,8.41,10.56,393.2,41.3,1.61,0.029,0.049,1.57,0.008,4107840,正常,2022_12_03_10h18m
兰山嘴,2022/12/3 8:00,劣Ⅴ,7.2,9.24,11.37,432.3,43.5,4.4,0.025,0.037,0.76,0.018,15374860,正常,2022_12_03_10h18m
拖山,2022/12/3 8:00,,9.6,7.66,11.31,450.1,33.6,--,0.049,0.054,0.93,0.003,10954770,维护,2022_12_03_10h18m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_03_10h18m
汤溇,2022/12/3 8:00,Ⅱ,8.1,7.91,11.16,394.9,219.3,4.4,0.035,0.109,1.12,*,*,正常,2022_12_03_10h18m
小梅口,2022/12/3 8:00,Ⅱ,11.5,7.2,6.92,425.5,67.5,3.07,0.214,0.074,2.94,*,*,正常,2022_12_03_10h18m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_03_14h19m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_03_14h19m
锡东水厂,2022/12/3 12:00,Ⅲ,9.2,8.46,10.67,395,37.2,1.76,0.033,0.048,1.53,0.008,4000190,正常,2022_12_03_14h19m
兰山嘴,2022/12/3 12:00,Ⅲ,7.3,8.79,11.5,437,43.1,5.49,0.025,0.047,1.09,0.017,15560780,正常,2022_12_03_14h19m
拖山,2022/12/3 12:00,,9.4,7.69,11.74,469.2,49.8,--,0.032,0.071,1.12,0.003,11370080,维护,2022_12_03_14h19m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_03_14h19m
汤溇,2022/12/3 12:00,Ⅲ,8,8.06,11.66,393.6,307.3,4.34,0.029,0.109,0.94,*,*,正常,2022_12_03_14h19m
小梅口,2022/12/3 12:00,Ⅱ,11.5,7.21,6.96,429.5,75.1,3.26,0.23,0.077,3.02,*,*,正常,2022_12_03_14h19m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_03_18h20m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_03_18h20m
锡东水厂,2022/12/3 16:00,Ⅲ,9.1,8.47,10.77,393.1,39,1.77,0.027,0.045,1.52,0.037,7220210,正常,2022_12_03_18h20m
兰山嘴,2022/12/3 16:00,Ⅲ,7.3,8.04,11.6,435.2,50.2,5.49,0.025,0.048,0.97,0.017,21194720,正常,2022_12_03_18h20m
拖山,2022/12/3 16:00,Ⅳ,9.4,7.72,11.84,481.3,53.5,2.63,0.029,0.078,1.39,0.004,11639280,正常,2022_12_03_18h20m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_03_18h20m
汤溇,2022/12/3 16:00,Ⅲ,8.2,8.06,11.68,393.9,400.4,4.71,0.035,0.111,0.95,*,*,正常,2022_12_03_18h20m
小梅口,2022/12/3 16:00,Ⅱ,11.3,7.26,7.48,429.7,78.6,3.96,0.216,0.095,3.06,*,*,正常,2022_12_03_18h20m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_03_22h20m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_03_22h20m
锡东水厂,2022/12/3 20:00,Ⅲ,9.2,8.52,10.84,387.1,36.6,1.8,0.025,0.038,1.34,0.011,4520970,正常,2022_12_03_22h20m
兰山嘴,2022/12/3 20:00,Ⅲ,7.2,8.19,11.54,431.7,45.4,5.08,0.025,0.043,1.03,0.016,15684920,正常,2022_12_03_22h20m
拖山,2022/12/3 20:00,Ⅳ,9.3,7.74,11.94,496.8,45,2.3,0.031,0.078,1.74,0.004,12072450,正常,2022_12_03_22h20m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_03_22h20m
汤溇,2022/12/3 20:00,Ⅲ,8.1,8.05,11.69,393.2,458.7,5.03,0.038,0.128,0.99,*,*,正常,2022_12_03_22h20m
小梅口,2022/12/3 20:00,Ⅱ,11.3,7.21,6.93,428.7,73.4,3.29,0.233,0.082,3.04,*,*,正常,2022_12_03_22h20m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_12_04_02h21m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_12_04_02h21m
锡东水厂,2022/12/3 20:00,Ⅲ,9.2,8.52,10.84,387.1,36.6,1.8,0.025,0.038,1.34,0.011,4520970,正常,2022_12_04_02h21m
兰山嘴,2022/12/4 0:00,劣Ⅴ,7.1,9.39,11.42,418.3,48.1,5.08,0.025,0.044,0.81,0.013,10321910,正常,2022_12_04_02h21m
拖山,2022/12/4 0:00,Ⅳ,9.3,7.72,11.96,492.9,62.5,2.3,0.026,0.092,1.56,0.004,12049920,正常,2022_12_04_02h21m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_12_04_02h21m
汤溇,2022/12/3 20:00,Ⅲ,8.1,8.05,11.69,393.2,458.7,5.03,0.038,0.128,0.99,*,*,正常,2022_12_04_02h21m
小梅口,2022/12/4 0:00,Ⅱ,11.3,7.21,6.93,428.7,73.4,3.29,0.233,0.082,3.04,*,*,正常,2022_12_04_02h21m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_12_04_06h22m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_12_04_06h22m
锡东水厂,2022/12/4 4:00,Ⅲ,8.9,8.45,10.86,386.7,33,1.76,0.025,0.035,1.29,0.01,4314440,正常,2022_12_04_06h22m
兰山嘴,2022/12/4 4:00,劣Ⅴ,7.1,9.39,11.09,409.3,43.7,3.68,0.072,0.042,0.88,0.011,7647805,正常,2022_12_04_06h22m
拖山,2022/12/4 4:00,Ⅳ,9.3,7.72,12.04,494.4,66.1,2.68,0.025,0.09,1.84,0.005,12040400,正常,2022_12_04_06h22m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_12_04_06h22m
汤溇,2022/12/4 4:00,Ⅲ,8.4,7.94,11.41,401.6,407.9,5.25,0.066,0.14,1.31,*,*,正常,2022_12_04_06h22m
小梅口,2022/12/4 4:00,Ⅱ,11,7.21,6.52,424.1,72.2,3.22,0.304,0.084,3.1,*,*,正常,2022_12_04_06h22m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_04_10h22m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_04_10h22m
锡东水厂,2022/12/4 4:00,Ⅲ,8.9,8.45,10.86,386.7,33,1.76,0.025,0.035,1.29,0.01,4314440,正常,2022_12_04_10h22m
兰山嘴,2022/12/4 8:00,Ⅲ,7.2,8.05,11.07,405.3,43.8,3.82,0.098,0.036,0.89,0.011,9322158,正常,2022_12_04_10h22m
拖山,2022/12/4 8:00,Ⅳ,9.4,7.71,11.94,488.2,58.9,2.84,0.042,0.076,1.91,0.004,12047810,正常,2022_12_04_10h22m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_04_10h22m
汤溇,2022/12/4 4:00,Ⅲ,8.4,7.94,11.41,401.6,407.9,5.25,0.066,0.14,1.31,*,*,正常,2022_12_04_10h22m
小梅口,2022/12/4 8:00,Ⅱ,11.1,7.21,6.7,420.3,73.8,3.01,0.29,0.078,3.06,*,*,正常,2022_12_04_10h22m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_12_04_14h23m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_12_04_14h23m
锡东水厂,2022/12/4 8:00,Ⅲ,9.2,8.4,10.73,384.2,34.1,1.57,0.035,0.031,1.34,0.006,3771080,正常,2022_12_04_14h23m
兰山嘴,2022/12/4 12:00,Ⅲ,7.2,8.02,11,427.2,39.3,4.58,0.136,0.043,1.19,0.013,10125190,正常,2022_12_04_14h23m
